date,machine_id,shift,target_units,units_produced,defective_units,downtime_minutes,shift_duration_min,failure_flag
2026-01-14,M2,Evening,533,485,9,21,480,False
2026-01-14,M2,Night,490,471,7,25,480,False
2026-01-14,M3,Morning,566,555,13,32,480,False
2026-01-14,M3,Evening,566,518,7,6,480,False
2026-01-14,M3,Night,520,512,13,18,480,False
2026-01-14,M4,Morning,500,474,7,36,480,False
2026-01-14,M4,Evening,500,471,10,24,480,False
2026-01-14,M4,Night,460,439,10,13,480,False
2026-01-14,M5,Morning,550,524,17,28,480,False
2026-01-14,M5,Evening,550,543,10,12,480,False
2026-01-14,M5,Night,506,473,10,27,480,False
2026-01-15,M1,Morning,600,533,16,18,480,False
2026-01-15,M1,Evening,600,556,8,7,480,False
2026-01-15,M1,Night,552,532,11,9,480,False
2026-01-15,M2,Morning,533,480,9,31,480,False
2026-01-15,M2,Evening,533,496,6,17,480,False
2026-01-15,M2,Night,490,456,2,18,480,False
2026-01-15,M3,Morning,566,528,13,32,480,False
2026-01-15,M3,Evening,566,551,11,11,480,False
2026-01-15,M3,Night,520,528,11,19,480,False
2026-01-15,M4,Morning,500,469,10,18,480,False
2026-01-15,M4,Evening,500,461,8,18,480,False
2026-01-15,M4,Night,460,424,7,19,480,False
2026-01-15,M5,Morning,550,512,15,0,480,False
2026-01-15,M5,Evening,550,535,15,4,480,False
2026-01-15,M5,Night,506,470,9,9,480,False
2026-01-16,M1,Morning,600,549,8,31,480,False
2026-01-16,M1,Evening,600,580,17,24,480,False
2026-01-16,M1,Night,552,500,9,22,480,False
2026-01-16,M2,Morning,533,481,12,17,480,False
2026-01-16,M2,Evening,533,495,13,22,480,False
2026-01-16,M2,Night,490,455,13,11,480,False
2026-01-16,M3,Morning,566,542,13,16,480,False
2026-01-16,M3,Evening,566,537,7,25,480,False
2026-01-16,M3,Night,520,485,9,26,480,False
2026-01-16,M4,Morning,500,459,6,7,480,False
2026-01-16,M4,Evening,500,479,6,31,480,False
2026-01-16,M4,Night,460,403,12,20,480,False
2026-01-16,M5,Morning,550,515,9,22,480,False
2026-01-16,M5,Evening,550,516,14,20,480,False
2026-01-16,M5,Night,506,477,9,18,480,False
2026-01-17,M1,Morning,420,398,4,9,480,False
2026-01-17,M1,Evening,420,404,9,17,480,False
2026-01-17,M1,Night,386,363,8,15,480,False
2026-01-17,M2,Morning,373,341,7,12,480,False
2026-01-17,M2,Evening,373,355,4,26,480,False
2026-01-17,M2,Night,343,327,7,26,480,False
2026-01-17,M3,Morning,396,392,11,5,480,False
2026-01-17,M3,Evening,396,357,6,19,480,False
2026-01-17,M3,Night,364,347,6,20,480,False
2026-01-17,M4,Morning,350,321,5,9,480,False
2026-01-17,M4,Evening,350,319,4,12,480,False
2026-01-17,M4,Night,322,312,5,38,480,False
2026-01-17,M5,Morning,385,367,8,13,480,False
2026-01-17,M5,Evening,385,369,6,20,480,False
2026-01-17,M5,Night,354,359,7,27,480,False
2026-01-18,M1,Morning,420,385,8,31,480,False
2026-01-18,M1,Evening,420,386,12,24,480,False
2026-01-18,M1,Night,386,356,9,26,480,False
2026-01-18,M2,Morning,373,357,4,13,480,False
2026-01-18,M2,Evening,373,347,7,23,480,False
2026-01-18,M2,Night,343,324,4,21,480,False
2026-01-18,M3,Morning,396,379,9,26,480,False
2026-01-18,M3,Evening,396,382,9,18,480,False
2026-01-18,M3,Night,364,324,7,20,480,False
2026-01-18,M4,Morning,350,331,4,11,480,False
2026-01-18,M4,Evening,350,340,7,24,480,False
2026-01-18,M4,Night,322,302,6,25,480,False
2026-01-18,M5,Morning,385,355,8,15,480,False
2026-01-18,M5,Evening,385,356,7,20,480,False
2026-01-18,M5,Night,354,327,9,12,480,False
2026-01-19,M1,Morning,600,560,10,29,480,False
2026-01-19,M1,Evening,600,567,15,8,480,False
2026-01-19,M1,Night,552,523,14,19,480,False
2026-01-19,M2,Morning,533,518,9,29,480,False
2026-01-19,M2,Evening,533,537,10,15,480,False
2026-01-19,M2,Night,490,481,15,15,480,False
2026-01-19,M3,Morning,566,524,10,9,480,False
2026-01-19,M3,Evening,566,516,8,13,480,False
2026-01-19,M3,Night,520,488,11,30,480,False
2026-01-19,M4,Morning,500,455,12,17,480,False
2026-01-19,M4,Evening,500,469,12,11,480,False
2026-01-19,M4,Night,460,437,10,22,480,False
2026-01-19,M5,Morning,550,521,19,14,480,False
2026-01-19,M5,Evening,550,508,9,15,480,False
2026-01-19,M5,Night,506,465,13,29,480,False
2026-01-20,M1,Morning,600,553,9,22,480,False
2026-01-20,M1,Evening,600,554,14,20,480,False
2026-01-20,M1,Night,552,493,15,32,480,False
2026-01-20,M2,Morning,533,491,9,21,480,False
2026-01-20,M2,Evening,533,506,13,33,480,False
2026-01-20,M2,Night,490,457,7,9,480,False
2026-01-20,M3,Morning,566,519,11,32,480,False
2026-01-20,M3,Evening,566,523,12,19,480,False
2026-01-20,M3,Night,520,507,18,15,480,False
2026-01-20,M4,Morning,500,462,13,24,480,False
2026-01-20,M4,Evening,500,497,12,16,480,False
2026-01-20,M4,Night,460,440,12,25,480,False
2026-01-20,M5,Morning,550,525,14,27,480,False
2026-01-20,M5,Evening,550,539,13,17,480,False
2026-01-20,M5,Night,506,477,13,13,480,False
2026-01-21,M1,Morning,600,570,11,19,480,False
2026-01-21,M1,Evening,600,587,13,19,480,False
2026-01-21,M1,Night,552,496,13,23,480,False
2026-01-21,M2,Morning,533,535,10,20,480,False
2026-01-21,M2,Evening,533,505,15,18,480,False
2026-01-21,M2,Night,490,464,11,20,480,False
2026-01-21,M3,Morning,566,524,12,26,480,False
2026-01-21,M3,Evening,566,514,11,14,480,False
2026-01-21,M3,Night,520,507,6,15,480,False
2026-01-21,M4,Morning,500,475,14,18,480,False
2026-01-21,M4,Evening,500,461,15,8,480,False
2026-01-21,M4,Night,460,402,9,15,480,False
2026-01-21,M5,Morning,550,500,13,20,480,False
2026-01-21,M5,Evening,550,507,7,25,480,False
2026-01-21,M5,Night,506,485,10,32,480,False
2026-01-22,M1,Morning,600,544,6,14,480,False
2026-01-22,M1,Evening,600,563,13,17,480,False
2026-01-22,M1,Night,552,524,7,29,480,False
2026-01-22,M2,Morning,533,499,14,21,480,False
2026-01-22,M2,Evening,533,508,12,22,480,False
2026-01-22,M2,Night,490,470,14,20,480,False
2026-01-22,M3,Morning,566,544,11,29,480,False
2026-01-22,M3,Evening,566,520,17,18,480,False
2026-01-22,M3,Night,520,466,10,14,480,False
2026-01-22,M4,Morning,500,482,8,15,480,False
2026-01-22,M4,Evening,500,441,8,1,480,False
2026-01-22,M4,Night,460,410,10,24,480,False
2026-01-22,M5,Morning,550,524,8,18,480,False
2026-01-22,M5,Evening,550,516,7,30,480,False
2026-01-22,M5,Night,506,488,10,19,480,False
2026-01-23,M1,Morning,600,567,5,17,480,False
2026-01-23,M1,Evening,600,551,8,17,480,False
2026-01-23,M1,Night,552,548,14,15,480,False
2026-01-23,M2,Morning,533,510,15,25,480,False
2026-01-23,M2,Evening,533,501,9,24,480,False
2026-01-23,M2,Night,490,466,12,23,480,False
2026-01-23,M3,Morning,566,549,10,28,480,False
2026-01-23,M3,Evening,566,535,18,14,480,False
2026-01-23,M3,Night,520,515,11,14,480,False
2026-01-23,M4,Morning,500,462,9,22,480,False
2026-01-23,M4,Evening,500,477,8,19,480,False
2026-01-23,M4,Night,460,461,14,22,480,False
2026-01-23,M5,Morning,550,517,11,23,480,False
2026-01-23,M5,Evening,550,500,10,7,480,False
2026-01-23,M5,Night,506,481,12,15,480,False
2026-01-24,M1,Morning,420,414,6,8,480,False
2026-01-24,M1,Evening,420,397,11,31,480,False
2026-01-24,M1,Night,386,357,10,18,480,False
2026-01-24,M2,Morning,373,348,9,23,480,False
2026-01-24,M2,Evening,373,332,10,29,480,False
2026-01-24,M2,Night,343,315,7,22,480,False
2026-01-24,M3,Morning,396,375,7,14,480,False
2026-01-24,M3,Evening,396,371,10,23,480,False
2026-01-24,M3,Night,364,338,9,0,480,False
2026-01-24,M4,Morning,350,341,3,16,480,False
2026-01-24,M4,Evening,350,317,4,27,480,False
2026-01-24,M4,Night,322,298,7,18,480,False
2026-01-24,M5,Morning,385,367,8,9,480,False
2026-01-24,M5,Evening,385,373,7,7,480,False
2026-01-24,M5,Night,354,328,10,25,480,False
2026-01-25,M1,Morning,420,390,7,16,480,False
2026-01-25,M1,Evening,420,420,10,22,480,False
2026-01-25,M1,Night,386,374,8,17,480,False
2026-01-25,M2,Morning,373,348,7,18,480,False
2026-01-25,M2,Evening,373,358,7,24,480,False
2026-01-25,M2,Night,343,321,7,4,480,False
2026-01-25,M3,Morning,396,383,9,26,480,False
2026-01-25,M3,Evening,396,337,11,18,480,False
2026-01-25,M3,Night,364,354,5,23,480,False
2026-01-25,M4,Morning,350,317,5,32,480,False
2026-01-25,M4,Evening,350,326,7,25,480,False
2026-01-25,M4,Night,322,307,7,21,480,False
2026-01-25,M5,Morning,385,389,8,20,480,False
2026-01-25,M5,Evening,385,374,10,27,480,False
2026-01-25,M5,Night,354,339,5,30,480,False
2026-01-26,M1,Morning,600,543,12,13,480,False
2026-01-26,M1,Evening,600,562,13,21,480,False
2026-01-26,M1,Night,552,525,16,22,480,False
2026-01-26,M2,Morning,533,497,13,27,480,False
2026-01-26,M2,Evening,533,481,12,24,480,False
2026-01-26,M2,Night,490,456,13,18,480,False
2026-01-26,M3,Morning,566,534,11,19,480,False
2026-01-26,M3,Evening,566,513,6,30,480,False
2026-01-26,M3,Night,520,475,7,3,480,False
2026-01-26,M4,Morning,500,460,6,31,480,False
2026-01-26,M4,Evening,500,485,8,35,480,False
2026-01-26,M4,Night,460,445,8,1,480,False
2026-01-26,M5,Morning,550,554,7,7,480,False
2026-01-26,M5,Evening,550,533,19,29,480,False
2026-01-26,M5,Night,506,484,12,25,480,False
2026-01-27,M1,Morning,600,577,13,19,480,False
2026-01-27,M1,Evening,600,562,9,17,480,False
2026-01-27,M1,Night,552,490,10,12,480,False
2026-01-27,M2,Morning,533,483,11,29,480,False
2026-01-27,M2,Evening,533,515,6,12,480,False
2026-01-27,M2,Night,490,474,7,17,480,False
2026-01-27,M3,Morning,566,541,8,19,480,False
2026-01-27,M3,Evening,566,509,9,21,480,False
2026-01-27,M3,Night,520,463,11,19,480,False
2026-01-27,M4,Morning,500,478,11,29,480,False
2026-01-27,M4,Evening,500,471,9,20,480,False
2026-01-27,M4,Night,460,439,9,19,480,False
2026-01-27,M5,Morning,550,505,9,9,480,False
2026-01-27,M5,Evening,550,545,7,14,480,False
2026-01-27,M5,Night,506,464,12,17,480,False
2026-01-28,M1,Morning,600,586,10,21,480,False
2026-01-28,M1,Evening,600,548,19,10,480,False
2026-01-28,M1,Night,552,524,13,22,480,False
2026-01-28,M2,Morning,533,498,10,19,480,False
2026-01-28,M2,Evening,533,498,13,35,480,False
2026-01-28,M2,Night,490,452,6,18,480,False
2026-01-28,M3,Morning,566,575,9,31,480,False
2026-01-28,M3,Evening,566,560,10,23,480,False
2026-01-28,M3,Night,520,514,10,17,480,False
2026-01-28,M4,Morning,500,461,7,14,480,False
2026-01-28,M4,Evening,500,451,10,13,480,False
2026-01-28,M4,Night,460,435,5,21,480,False
2026-01-28,M5,Morning,550,530,5,21,480,False
2026-01-28,M5,Evening,550,537,7,31,480,False
2026-01-28,M5,Night,506,482,8,18,480,False
2026-01-29,M1,Morning,600,574,12,23,480,False
2026-01-29,M1,Evening,600,547,12,9,480,False
2026-01-29,M1,Night,552,517,8,13,480,False
2026-01-29,M2,Morning,533,520,14,23,480,False
2026-01-29,M2,Evening,533,483,9,27,480,False
2026-01-29,M2,Night,490,462,16,22,480,False
2026-01-29,M3,Morning,566,535,10,20,480,False
2026-01-29,M3,Evening,566,529,13,26,480,False
2026-01-29,M3,Night,520,476,6,5,480,False
2026-01-29,M4,Morning,500,477,7,3,480,False
2026-01-29,M4,Evening,500,475,17,19,480,False
2026-01-29,M4,Night,460,443,9,18,480,False
2026-01-29,M5,Morning,550,532,10,21,480,False
2026-01-29,M5,Evening,550,522,9,26,480,False
2026-01-29,M5,Night,506,472,8,23,480,False
2026-01-30,M1,Morning,600,547,12,19,480,False
2026-01-30,M1,Evening,600,583,14,19,480,False
2026-01-30,M1,Night,552,532,16,23,480,False
2026-01-30,M2,Morning,533,501,7,11,480,False
2026-01-30,M2,Evening,533,496,9,17,480,False
2026-01-30,M2,Night,490,461,11,18,480,False
2026-01-30,M3,Morning,566,540,12,4,480,False
2026-01-30,M3,Evening,566,516,10,10,480,False
2026-01-30,M3,Night,520,498,15,27,480,False
2026-01-30,M4,Morning,500,466,14,20,480,False
2026-01-30,M4,Evening,500,464,8,17,480,False
2026-01-30,M4,Night,460,427,9,20,480,False
2026-01-30,M5,Morning,550,517,12,27,480,False
2026-01-30,M5,Evening,550,532,6,0,480,False
2026-01-30,M5,Night,506,489,6,17,480,False
2026-01-31,M1,Morning,420,380,4,23,480,False
2026-01-31,M1,Evening,420,404,7,0,480,False
2026-01-31,M1,Night,386,356,8,8,480,False
2026-01-31,M2,Morning,373,352,7,23,480,False
2026-01-31,M2,Evening,373,351,5,27,480,False
2026-01-31,M2,Night,343,320,6,12,480,False
2026-01-31,M3,Morning,396,366,6,17,480,False
2026-01-31,M3,Evening,396,392,5,7,480,False
2026-01-31,M3,Night,364,358,7,14,480,False
2026-01-31,M4,Morning,350,339,6,32,480,False
2026-01-31,M4,Evening,350,336,6,34,480,False
2026-01-31,M4,Night,322,296,7,21,480,False
2026-01-31,M5,Morning,385,376,11,19,480,False
2026-01-31,M5,Evening,385,353,8,14,480,False
2026-01-31,M5,Night,354,354,8,16,480,False
2026-02-01,M1,Morning,420,397,5,12,480,False
2026-02-01,M1,Evening,420,409,7,11,480,False
2026-02-01,M1,Night,386,369,10,24,480,False
2026-02-01,M2,Morning,373,361,6,8,480,False
2026-02-01,M2,Evening,373,367,7,17,480,False
2026-02-01,M2,Night,343,336,8,22,480,False
2026-02-01,M3,Morning,396,397,7,25,480,False
2026-02-01,M3,Evening,396,372,8,30,480,False
2026-02-01,M3,Night,364,347,8,26,480,False
2026-02-01,M4,Morning,350,325,5,11,480,False
2026-02-01,M4,Evening,350,308,10,11,480,False
2026-02-01,M4,Night,322,300,6,21,480,False
2026-02-01,M5,Morning,385,371,10,15,480,False
2026-02-01,M5,Evening,385,359,8,17,480,False
2026-02-01,M5,Night,354,349,8,24,480,False
2026-02-02,M1,Morning,600,575,16,20,480,False
2026-02-02,M1,Evening,600,540,13,14,480,False
2026-02-02,M1,Night,552,510,13,28,480,False
2026-02-02,M2,Morning,533,501,11,31,480,False
2026-02-02,M2,Evening,533,504,18,23,480,False
2026-02-02,M2,Night,490,434,11,21,480,False
2026-02-02,M3,Morning,566,553,14,18,480,False
2026-02-02,M3,Evening,566,511,10,13,480,False
2026-02-02,M3,Night,520,479,12,31,480,False
2026-02-02,M4,Morning,500,475,7,22,480,False
2026-02-02,M4,Evening,500,487,8,18,480,False
2026-02-02,M4,Night,460,432,7,23,480,False
2026-02-02,M5,Morning,550,515,12,12,480,False
2026-02-02,M5,Evening,550,509,13,16,480,False
2026-02-02,M5,Night,506,501,9,20,480,False
2026-02-03,M1,Morning,600,580,7,6,480,False
2026-02-03,M1,Evening,600,536,15,15,480,False
2026-02-03,M1,Night,552,561,10,20,480,False
2026-02-03,M2,Morning,533,525,17,34,480,False
2026-02-03,M2,Evening,533,520,14,23,480,False
2026-02-03,M2,Night,490,472,8,13,480,False
2026-02-03,M3,Morning,566,531,11,15,480,False
2026-02-03,M3,Evening,566,543,15,19,480,False
2026-02-03,M3,Night,520,511,7,17,480,False
2026-02-03,M4,Morning,500,459,4,18,480,False
2026-02-03,M4,Evening,500,468,14,23,480,False
2026-02-03,M4,Night,460,418,13,27,480,False
2026-02-03,M5,Morning,550,526,10,12,480,False
2026-02-03,M5,Evening,550,510,14,32,480,False
2026-02-03,M5,Night,506,499,9,11,480,False
2026-02-04,M1,Morning,600,566,6,21,480,False
2026-02-04,M1,Evening,600,561,10,7,480,False
2026-02-04,M1,Night,552,527,9,10,480,False
2026-02-04,M2,Morning,533,455,9,31,480,False
2026-02-04,M2,Evening,533,527,10,14,480,False
2026-02-04,M2,Night,490,467,7,21,480,False
2026-02-04,M3,Morning,566,545,16,18,480,False
2026-02-04,M3,Evening,566,528,8,13,480,False
2026-02-04,M3,Night,520,485,11,25,480,False
2026-02-04,M4,Morning,500,457,14,17,480,False
2026-02-04,M4,Evening,500,469,8,1,480,False
2026-02-04,M4,Night,460,444,11,17,480,False
2026-02-04,M5,Morning,550,518,12,7,480,False
2026-02-04,M5,Evening,550,508,13,10,480,False
2026-02-04,M5,Night,506,480,6,22,480,False
2026-02-05,M1,Morning,600,563,6,27,480,False
2026-02-05,M1,Evening,600,550,9,20,480,False
2026-02-05,M1,Night,552,537,8,19,480,False
2026-02-05,M2,Morning,533,507,13,20,480,False
2026-02-05,M2,Evening,533,495,8,19,480,False
2026-02-05,M2,Night,490,444,1,22,480,False
2026-02-05,M3,Morning,566,547,4,11,480,False
2026-02-05,M3,Evening,566,542,18,19,480,False
2026-02-05,M3,Night,520,477,9,29,480,False
2026-02-05,M4,Morning,500,460,7,15,480,False
2026-02-05,M4,Evening,500,455,10,30,480,False
2026-02-05,M4,Night,460,436,8,17,480,False
2026-02-05,M5,Morning,550,491,13,18,480,False
2026-02-05,M5,Evening,550,514,21,21,480,False
2026-02-05,M5,Night,506,464,9,27,480,False
2026-02-06,M1,Morning,600,566,7,25,480,False
